entorno_ejecucion,motor,doc_id,nombre_pdf,ruta_relativa_repo,ruta_absoluta_pdf,page_index,campo,valor_gold,valor_pred,exactitud_binaria,tiempo_pagina_s,len_texto_pagina,fecha_corrida
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,monto_igv,,,N/A,0.0371,1486,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,monto_total,,,N/A,0.0371,1486,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,ruc_receptor,,,N/A,0.0371,1486,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,razon_social_emisor,,,N/A,0.0371,1486,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,ruc_emisor,10288513673,10288513673,1,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,tipo_documento,01,01,1,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,serie_numero,F001-00001706,,0,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,fecha_emision,2026-02-06,2026-02-06,1,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,moneda,PEN,PEN,1,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,monto_subtotal,38.98,,0,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,monto_igv,7.02,7.02,1,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,monto_total,46.00,46.00,1,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,ruc_receptor,20380795907,20380795907,1,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,13,razon_social_emisor,RESTAURANT HATUN WASI,FACTURA ELECTRÓNICA,0,0.0171,1022,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,15,ruc_emisor,10288513673,10288513673,1,0.0187,990,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,15,tipo_documento,01,01,1,0.0187,990,2026-04-14
